Generator,p_nom_opt
BG1 0 retrofitting ambitious services rural heat,25.730796987630974
BG1 0 retrofitting moderate services rural heat,180.3832126913742
CH1 0 retrofitting ambitious services rural heat,0.0
CH1 0 retrofitting moderate services rural heat,2.733348871561723e-05
CZ1 0 retrofitting ambitious services rural heat,348.6560597848708
CZ1 0 retrofitting moderate services rural heat,650.5383020564268
DE1 0 retrofitting ambitious services rural heat,8.346348450349176e-06
DE1 0 retrofitting moderate services rural heat,1.4703475923572839e-05
DE1 1 retrofitting ambitious services rural heat,0.0005808525084595866
DE1 1 retrofitting moderate services rural heat,0.0006275663626812153
DE1 2 retrofitting ambitious services rural heat,8.654157974875933e-06
DE1 2 retrofitting moderate services rural heat,1.696038426706903e-05
DE1 3 retrofitting ambitious services rural heat,0.00021599218987347063
DE1 3 retrofitting moderate services rural heat,0.00012509816849102194
DE1 4 retrofitting ambitious services rural heat,0.00047404302697743965
DE1 4 retrofitting moderate services rural heat,0.0006693182744543266
DK1 0 retrofitting ambitious services rural heat,0.0
DK1 0 retrofitting moderate services rural heat,2.449543051257451e-06
DK2 0 retrofitting ambitious services rural heat,0.0
DK2 0 retrofitting moderate services rural heat,1.4465398197028755e-06
EE6 0 retrofitting ambitious services rural heat,8.40101708733531e-07
EE6 0 retrofitting moderate services rural heat,1.2088401500734684e-06
ES1 0 retrofitting ambitious services rural heat,1.2142731949497674e-05
ES1 0 retrofitting moderate services rural heat,5.826757099833109e-05
ES4 0 retrofitting ambitious services rural heat,2.123685618084321
ES4 0 retrofitting moderate services rural heat,9.395520318822308
FI2 0 retrofitting ambitious services rural heat,0.0
FI2 0 retrofitting moderate services rural heat,9.6614886279882e-06
FR1 0 retrofitting ambitious services rural heat,683.3234928040274
FR1 0 retrofitting moderate services rural heat,2161.5079957262847
FR1 1 retrofitting ambitious services rural heat,177.9308902067627
FR1 1 retrofitting moderate services rural heat,562.8304904126629
FR1 2 retrofitting ambitious services rural heat,239.69748603822094
FR1 2 retrofitting moderate services rural heat,758.2177405888433
FR1 3 retrofitting ambitious services rural heat,339.8644594408284
FR1 3 retrofitting moderate services rural heat,1075.0651428018314
FR1 4 retrofitting ambitious services rural heat,189.06924915807892
