name,busmap
virtual_way/152403718:1-220,DE2 0AC
virtual_way/152542160:1-220,DE2 4AC
virtual_way/152924506:0-220,DE2 4AC
virtual_way/152924515:0-220,DE2 4AC
virtual_way/155647668:0-220,DE2 1AC
virtual_way/156350633:1-220,DE2 4AC
virtual_way/156960646:1-380,DE2 3AC
virtual_way/169004950:1-380,DE2 0AC
virtual_way/169244947:0-220,DE2 4AC
virtual_way/17673603:0-380,DE2 4AC
virtual_way/17673603:1-380,DE2 4AC
virtual_way/178708511:1-220,DE2 1AC
virtual_way/184007156:1-380,DE2 0AC
virtual_way/189145558:0-220,DE2 0AC
virtual_way/199208152:1-380,DE2 1AC
virtual_way/200409360:0-220,DE2 4AC
virtual_way/201775656:0-220,DE2 0AC
virtual_way/207579638:1-220,DE2 0AC
virtual_way/207800275:0-220,DE2 0AC
virtual_way/215588442:0-220,DE2 0AC
virtual_way/22762380:1-220,DE2 0AC
virtual_way/231735880:1-380,DE2 1AC
virtual_way/231741801:1-220,DE2 4AC
virtual_way/23382106:1-380,DE2 4AC
virtual_way/23921168:0-380,DE2 4AC
virtual_way/23951301:0-220,DE2 1AC
virtual_way/24415006:1-380,DE2 0AC
virtual_way/24428696:1-380,DE2 0AC
virtual_way/24479976:0-220,DE2 0AC
virtual_way/24604796:a:1-380,DE2 1AC
virtual_way/24605510:1-220,DE2 1AC
virtual_way/24686695:0-220,DE2 0AC
virtual_way/24959946:1-380,DE2 0AC
virtual_way/25088919:1-220,DE2 0AC
virtual_way/25091009:0-380,DE2 0AC
virtual_way/25209869:1-380,DE2 0AC
virtual_way/25788425:1-220,DE2 0AC
virtual_way/259468196:0-220,DE2 3AC
virtual_way/259468196:1-220,DE2 3AC
virtual_way/26186272:1-220,DE2 4AC
virtual_way/26472663:1-380,DE2 3AC
virtual_way/26660205:0-380,DE2 4AC
virtual_way/27044875:0-220,DE2 0AC
virtual_way/27092940:1-220,DE2 0AC
virtual_way/277828184:1-380,DE2 4AC
